Tipo de propiedad,Oferta,Barrio,Lema,Cuartos,Baños,Superficie,Precio,Descripción 
Apartamento,Venta,Barrio Sur,"Apartamento en Barrio sur, Montevideo",1,1,38 m2,U$S 110.000,"Sobre calle Maldonado esquina Andes, excelente ubicación en pleno centro de Montevideo y a metros de la rambla Sur.
Muy lindo apartamento, ubicado en la planta baja del edificio, con entrada independiente.
Rejas en retiro perimetral.
Buen living comedor, al frente. Queda instalado equipo de aire acondicionado
Amplio dormitorio, al frente
Estos dos ambientes frontales, tienen doble ventana.
Baño completo
Paga $ 500 por mes, en concepto de Fondo de reserva
Cómoda cocina con salida a patio de 8 m2, de uso exclusivo.
El apartamento está vacío y pronto para entrar.
Muy buen estado"
Apartamento,Alquiler,Tres Cruces,"Apartamento en Tres Cruces, Montevideo",2,1,55 m2,$33.500 + 8.000 GC,"Hermoso apartamento en piso 5, al frente, con vista despejada y muy luminoso. Moderno Living comedor con cocina integrada. Tiene mueble con conexion para lavarropas. Dos dormitorios. Baño completo Amplia terraza estar, saliendo del living. Garage en lugar fijo Porteria de 9 a 21 hs Gimnasio y barbacoa Lavadero en edificio"
Apartamento,Venta,Centro,"Apartamento en Centro, Montevideo",1,1,38 m2,U$S 84.000,"¡Próximo Av. Libertador y Galicia! Lindo apartamento al frente, ubicado en un segundo piso por escalera. Amplio living comedor con gran ventanal, lo que le brinda excelente entrada de luz natural. El dormitorio también está orientado al frente y dispone de placard empotrado. Cocina definida Baño Completo. El estado general del apartamento es bueno, se encuentra vacío y pronto para ocupar. El edificio está en muy buen estado. Tiene acceso a la azotea para colgar ropa. Gastos: Tributos bimestrales: $1.474, Contribución inmobiliaria: 3 cuotas de $3.970, Primaria: 3 cuotas de $1.280. Año de Construcción 1959."
Casa,Venta,Aguada,"Casa en Aguada, Montevideo",2,1,46 m2,U$S 99.000,"Se vende con renta de $ 22.500. Propiedad horizontal, a la calle con entrada independiente. Cómodo apartamento con amplios espacios, muy bien iluminado. Living comedor con ventana al frente. Cocina definida y salida a un pequeño patio, dos dormitorios, los dos con ventanas, uno de ellos al frente. Un baño completo, en muy buen estado. Gastos comunes: $1.800. No dude en consultar!"
Casa,Alquiler,La Blanqueada,"Casa en La Blanqueada, Montevideo",1,1,65 m2,$38.00,"A metros de Garibaldi y muy próximo al Parque Batlle.
Vivienda o consultorio
Casa en P.H. planta baja. en impecable estado.
Amplio living y comedor
Hermosa cocina, mirando al patio. Tiene sector de comedor diario. Queda instalado horno empotrado, queda instalado Anafe, purificador de aire y sistema de filtros de agua.
Amplio dormitorio con placard
Baño completo
En el living queda instalado equipo de aire acondicionado y estufa de alto rendimiento.
Honorario Inm Daver: el equivalente a un mes de alquiler, mas IVA
Plazo mínimo 2 años
Pisos plastificados, instalaciones nuevas. Todo impecable
No se admiten mascotas"
Casa,Alquiler,La Figurita,"Casa en La Figurita, Montevideo",3,2,100 m2,$39.50,"Sobre J.M Penco a una cuadra y media de Bvar ArtigasMuy buena casa, de estilo y muy cómoda.Se distribuye principalmente en dos plantas.Tiene a nivel de la azotea una habitación con conexiones para lavarropa y que puede funcionar como área de trabajo/ escritorio o eventualmente y cuarto dormitorio.Tiene retiro frontal con reja perimetral que permite el acceso a un vehículo.En P.B tiene living comedor, amplia cocina, salida a patio chico, un baño de servicio uy un dormitorio al frente.En P.A tiene dos dormitorios, salida a amplia terraza y baño completo.A nivel de azotea una habitación más y un tramo de azotea transitable, con parrillero."
Apartamento,Alquiler,Unión,"Apartamento en Unión, Montevideo",Monoambiente,1,38 m2 + 13 m2 terraza,$ 21.000 + $ 4.000 gastos comunes,"Apartamento monoambiente a estrenar ubicado en 8 De Octubre y Abreu. El ambiente principal está dividido por un modular que separa el área destinada para dormitorio. Dispone de una terraza exclusiva de 13 m². El apartamento cuenta con baño completo y cocina equipada con muebles bajo mesada y alacena. Se encuentra instalado un equipo de aire acondicionado, purificador de aire y calefón. El edificio ofrece lavadero de uso común y portería virtual. En el piso 11 se encuentran dos barbacoas con vistas. El edificio cuenta con circuito de cámaras de seguridad. Los gastos comunes son de 4000 UYU. Se admite mascotas."
Oficina,Alquiler,Ciudad Vieja,"Oficina en Ciudad Vieja, Montevideo",1,1,28 m2,$ 10.000 + $ 3.500 gastos comunes,"Oficina en Alquiler – Ciudad ViejaSe alquila oficina de 28 m² en edificio ubicado en la esquina de 25 de Mayo y Treinta y Tres, en el corazón de Ciudad Vieja.La unidad se encuentra en el primer piso, con acceso por ascensor o escalera. Cuenta con aire acondicionado, baño de uso exclusivo y buena iluminación natural.El edificio es exclusivamente de oficinas y ofrece servicio de portería hasta las 15:00 horas.Excelente ubicación con todos los servicios cercaIdeal establecerse en una zona estratégica del centro de Montevideo.
Año de Construcción 1935."
Apartamento,Venta,Punta Carretas,"Apartamento en Punta Carretas, Montevideo",4,2,110 m2,U$S 220.000,"Excelente ubicación, a metros de la Rambla, en el límite de Punta Carretas. La propiedad puede ser para vivienda pero también se adapta muy bien para comercio, oficinas, consultorios, hostel y más. Casa en Propiedad Horizontal, planta alta. Se desarrolla en una planta. Casa de estilo, con ambientes amplios4 dormitorios, dos al frente y dos a contra frente, más una habitación pequeña. Un baño reciclado y el segundo a reciclar. Cocina definida, a reciclar. Terraza a contra frente, con escalera que accede a la azotea. La azotea es transitable. El estado general de la casa es regular, está a reciclar. Contribución Inmobiliaria $ 15.000 en el año 2024 Consulte Año de Construcción 1920."
Apartamento,Venta,Tres Cruces,"Apartamento en Tres Cruces, Montevideo",3,2,68 m2,U$S 160.000,"Apartamento con excelentes vistas, con buena luminosidad en todos sus ambientes. Único apartamento en el piso. Es un apartamento por piso, lo que hace a un edificio tranquilo y con unidades muy independientes. Ubicado a metros de Bvar.  Artigas próximo a Tres Cruces. Amplio Living-comedor , 3 dormitorios , 2 de ellos con sus placares originales.2 baños , el baño principal reciclado totalmente a nuevo. Instalación sanitaria de cocina y los 2 baños esta reciclada. Amplia cocina con terraza lavadero y conexión para lavarropa. Muy buena propuesta en excelente ubicación, con todos los servicios a metros del apartamento. Contribución inmobiliaria $12500 por año.
Año de Construcción 1983."
Apartamento,Venta,Pocitos,"Apartamento en Pocitos, Montevideo",3,2,115 m2,U$S 328.000,"Hermoso apartamento, en edificio de estilo, muy buena calidad. Construcción del año 1961. Amplio living comedor con terraza al frente. Moderna cocina, totalmente reciclada, con barra hacia el living comedor. Tres dormitorios con placares. 2 baños. El edificio tiene calefacción central, por radiadores. Servicio de portería. Garage en lugar fijo. Muy buena propuesta, muy próxima a la rambla."
Casa,Venta,La Comercial,"Casa en La Comercial, Montevideo",1,1,50 m2,U$S 78.000,"Propiedad horizontal, a la calle con entrada independiente.A nivel de calle tiene el dormitorio, la cocina y el baño, en un nivel más bajo el living comedor y a nivel de azotea, con acceso por escalera interna, tiene parrillero y azotea cubierta y transitable."
Apartamento,Venta,Palermo,"Apartamento en Palermo, Montevideo",2,1,76 m2,U$S 129.000,"A metros de la rambla, hermoso barrio y entorno. En edificio de estilo, del año 1929, se conserva en muy estado, apartamento al frente. Primer piso de acceso por escalera. Amplio living comedor. Escritorio definido o tercer dormitorio. Dos dormitorios al frente, que en este momento están integrados, pero se separan nuevamente de manera muy fácil. Es solo un tabique al medio y quedan definidos nuevamente. Los dormitorios al frente, con vista a Gonzalo Ramírez. Baño completo. Cocina definida. Posibilidad de Financiación Bancaria. Año de Construcción 1929."
Casa,Venta,Palermo,"Casa en Palermo, Montevideo",3,2,110 m²,U$S 240.000,"A metros de la rambla, excelente ubicación Propiedad Horizontal – Planta Alta en excelente ubicación! Ubicada a metros dela Facultad de economía. La propiedad cuenta con un amplio living-comedor al frente, con estufa a leña y salida al balcón. Dispone de tres dormitorios en una misma planta, además de un espacio adicional, a nivel de azotea que puede ser utilizado como escritorio o cuarto dormitorio. Esta habitación tiene al lado un baño completo Los dos baños y la cocina están reciclados a nuevo. Desde el interior se accede a una azotea transitable, donde en uno de sus tramos cuenta con parrillero, ideal para disfrutar al aire libre. El estado en general es bueno, es una excelente opción para quienes buscan comodidad, ubicación y funcionalidad en un entorno con todos los servicios cerca. Consulte!! Año de Construcción 1942."
Oficina,Alquiler,Ciudad Vieja,"Oficina en Ciudad Vieja, Montevideo",1 ambiente,3,170 m2,U$S 1.400,"Espaciosa planta de 170 mtrs sobre la calle Sarandi y Pza independencia. Uno por piso con 8 oficinas amplias e iluminadas. Recepción con sala de espera, 3 baños y cocina definida. Todos los ambientes con aire acondicionado. Honorario inmobiliaria: equivalente a 1 mes de alquiler + IVA"
Oficina,Alquiler,Cordón,"Oficina en Cordón, Montevideo",1,1,40 m2,$45.00,"Se alquila consultorio odontológico en Torre de los CaudillosUbicado en Bulevar Artigas esquina Rivera, en edificio de categoría con portería y vigilancia 24 hs, barbacoa, gimnasio y solárium.Consultorio con amplia recepción, dos privados, cocina y bañoEl consultorio queda actualmente funcionando con equipamiento a disposición de los nuevos inquilinos, sin costo , equipos de rayos x , chaleco para equipo de rayos x , cortinas de enrollar.Dos consultorios privados, totalmente equipados.Dos equipos odontológicos completos.Esterilizador, autoclave y cavitador.Dos equipos de aire acondicionado.El consultorio esta orientado al norte con buena entrada de luz natural y además tiene un sector organizado como pequeño escritorio con estanterías. .Opción de garaje en el edificio  $ 4500.
Año de Construcción 1998."
Casa,Venta,Punta Carretas,"Casa en Punta Carretas, Montevideo",4,2,110 m2,U$S 220.000,"Excelente ubicación, a metros de la Rambla, en el límite de Punta Carretas. La propiedad puede ser para vivienda pero también se adapta muy bien para comercio, oficinas, consultorios, hostel y más. Casa en Propiedad Horizontal, planta alta. Se desarrolla en una planta. Casa de estilo, con ambientes amplios4 dormitorios, dos al frente y dos a contra frente, más una habitación pequeña. Un baño reciclado y el segundo a reciclar. Cocina definida, a reciclar. Terraza a contra frente, con escalera que accede a la azotea. La azotea es transitable. El estado general de la casa es regular, está a reciclar. Contribución Inmobiliaria $ 15.000 en el año 2024 Consulte
Año de Construcción 1920."
